,mean,med,std
2013-01-09,6.779690791309681,6.882307092751363,5.840958595075936
2013-01-10,6.766519253571265,6.915814319433517,5.805016148600007
2013-01-11,6.7767346089343015,6.883116883116884,5.819435905287278
2013-01-14,6.653091469897513,6.736596736596737,5.675290914604688
2013-01-15,6.702881813002591,6.88321732405259,5.71912532868301
2013-01-16,6.712221077771739,6.694980694980695,5.711474248816011
2013-01-17,6.710714530275344,6.635586635586636,5.714773368470653
2013-01-18,6.629047806870147,6.50818698796051,5.673040723106027
2013-01-21,6.484683381240309,6.3335505998106685,5.579354587165278
2013-01-22,6.473558228999626,6.2744497657742535,5.607867873971217
2013-01-23,6.4055228272442735,6.289271390374331,5.539962049356672
2013-01-24,6.422526116194122,6.262154527211499,5.590984817881395
2013-01-25,6.477750196621534,6.280312022120274,5.6645848926392315
2013-01-28,6.44900504385778,6.280087527352297,5.533044275114713
2013-01-29,6.401804483753256,6.21505376344086,5.501805331276278
2013-01-30,6.352751641614254,6.300680175551736,5.500437241397009
2013-01-31,6.2080256328147545,6.033287101248266,5.3970572842143465
2013-02-01,6.160324312762451,6.066481994459834,5.314210578521972
2013-02-04,6.199713876242233,6.27972027972028,5.344128023337653
2013-02-05,6.244112193475462,6.341807909604521,5.352210659097354
2013-02-06,6.0700319838497325,4.117578643410288,5.2454959998349215
2013-02-07,5.935871754201971,4.009506900895663,5.0718225111652036
2013-02-08,5.911670294419734,3.9247491191592068,5.046394804307607
2013-02-18,6.0900385308486475,5.868983957219251,5.192587891888157
2013-02-19,6.359602560921648,6.113475177304965,5.4779485845924505
2013-02-20,6.323793521506419,6.084507042253522,5.430861256083903
2013-02-21,6.366732894445725,6.127167630057803,5.490370512706218
2013-02-22,6.419712031246713,6.0398860398860394,5.566501061770517
2013-02-25,6.238599984226284,3.9142118298368294,5.431661754872052
2013-02-26,6.328761981961677,5.787234042553192,5.478646811779446
2013-02-27,6.303723353866348,5.7425742574257415,5.458629955218276
2013-02-28,6.285934904586339,5.726141078838174,5.44564866006217
2013-03-01,6.211723175313024,3.8434829059829063,5.4458378249206705
2013-03-04,6.213007666320027,3.842387904066736,5.467408908169122
2013-03-05,6.19311034921274,3.8579850995668945,5.442672688811492
2013-03-06,6.199405641705084,3.8804400241109103,5.44282014050747
2013-03-07,6.171793768025997,2.0023809523809524,5.482347955012199
2013-03-08,6.282004249694287,3.938703574025694,5.5549321254472375
2013-03-11,6.277342466616731,3.9074416692363036,5.55006692929583
2013-03-12,6.303191210195852,3.9855278922299178,5.594786784931128
2013-03-13,6.380065494382428,6.01823708206687,5.586051815362009
2013-03-14,6.396221498313347,6.152694610778444,5.62442694601379
2013-03-15,6.335293867458038,6.030534351145038,5.581437368885703
2013-03-18,6.3341446551171545,5.921568627450981,5.589953727944259
2013-03-19,6.329082621898313,5.824607329842932,5.567448049938881
2013-03-20,6.329062076584356,5.7915057915057915,5.559521629507963
2013-03-21,6.413148767033611,6.047154161222602,5.595947172812315
2013-03-22,6.386633530609843,5.571776155717761,5.635913381806555
2013-03-25,6.367151507392693,5.735475896168108,5.602611999040011
2013-03-26,6.433861032583396,5.588235294117647,5.6989031471427225
2013-03-27,6.445760975512512,5.6601466992665035,5.7117325938582555
2013-03-28,6.409978914300363,5.939650154703918,5.619754285073624
2013-03-29,6.405381223500942,5.658720200752822,5.68018634320384
2013-04-01,6.419075380935562,5.647798742138365,5.68575974475671
2013-04-02,6.427761938994425,5.573170731707318,5.70023735513513
2013-04-03,6.38927151475972,5.555555555555555,5.664692738629794
2013-04-08,6.399539260804858,5.563909774436091,5.667653568285367
2013-04-09,6.394214393545281,5.563816604708798,5.6757165396648155
2013-04-10,6.410843320009636,5.640703517587941,5.681704213171741
2013-04-11,6.388274396404316,5.614250614250614,5.672258876390854
2013-04-12,6.376045916369295,5.5405405405405395,5.688859623296153
2013-04-15,6.517680742875962,5.625,5.857498846419011
2013-04-16,6.548075125272842,5.612745098039216,5.880631530570855
2013-04-17,6.534142762648202,5.57997557997558,5.862906912570455
2013-04-18,6.504019109029014,5.4976303317535535,5.806755672455844
2013-04-19,6.435955180088016,5.340909090909091,5.713421822375528
2013-04-22,6.428447500152174,5.143769968051118,5.71381412135598
2013-04-23,6.602047659363539,6.646964199174923,5.760322740830834
